# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
P2U-Bardon-LWS02;600;2022-05-02 09:50:01 UTC;0.05;5767.23;184905.91;0.00;187679.90;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;601;2022-05-02 10:00:01 UTC;0.45;5367.30;185460.14;0.00;193492.81;1.17;5.92;6.42;90.69
P2U-Bardon-LWS02;600;2022-05-02 10:10:01 UTC;1.15;5592.62;185765.73;0.02;188452.20;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 10:20:01 UTC;12.72;5628.71;184728.52;0.02;187486.06;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;599;2022-05-02 10:30:01 UTC;0.47;5134.52;186406.52;0.01;188613.41;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 10:40:01 UTC;114.19;5561.47;185873.77;0.00;188377.29;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 10:50:01 UTC;0.52;5621.79;186020.81;0.01;188772.69;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 11:00:01 UTC;0.45;5313.80;185040.56;0.01;193226.57;0.00;165.24;96.83;58.60
P2U-Bardon-LWS02;600;2022-05-02 11:10:01 UTC;2.52;5493.47;186130.14;0.03;188737.02;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 11:20:01 UTC;6.17;5511.81;185136.61;0.06;187861.81;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 11:30:01 UTC;0.81;5285.80;186873.76;0.01;189124.18;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 11:40:01 UTC;12.81;5457.90;185621.89;0.01;188248.25;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 11:50:01 UTC;0.21;5479.67;185127.20;0.01;187761.61;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 12:00:01 UTC;1.12;5579.20;185461.91;0.01;193671.06;0.00;551.17;12.23;2.22
P2U-Bardon-LWS02;600;2022-05-02 12:10:01 UTC;29.14;5589.33;185032.69;0.10;187711.46;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 12:20:01 UTC;1.08;5370.01;185140.13;0.01;187546.19;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 12:30:01 UTC;0.03;5294.66;185179.10;0.00;187506.60;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 12:40:01 UTC;12.61;5500.77;184898.92;0.00;187534.34;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 12:50:01 UTC;0.11;5476.77;185054.56;0.00;187705.74;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 13:00:01 UTC;3.63;5364.27;185356.77;0.11;193668.08;0.00;1509.07;60.83;4.03
P2U-Bardon-LWS02;600;2022-05-02 13:10:01 UTC;6.93;5467.62;185090.99;0.11;187710.15;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 13:20:02 UTC;15.74;5755.69;185002.00;0.28;187755.58;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 13:30:01 UTC;5.82;5453.49;185480.24;0.08;187961.93;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 13:40:01 UTC;16.22;5470.22;184846.95;0.01;187574.86;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 13:50:01 UTC;14.24;5698.42;185539.04;0.17;188291.90;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 14:00:01 UTC;3.18;5688.83;185553.19;0.07;194011.86;0.00;607.50;125.92;20.73
P2U-Bardon-LWS02;600;2022-05-02 14:10:01 UTC;53.20;5667.90;186263.33;0.52;188529.16;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 14:20:01 UTC;11.04;6395.53;189999.46;0.09;190115.14;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 14:30:01 UTC;6.39;6224.79;191741.35;0.05;191006.42;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 14:40:01 UTC;34.05;7216.34;187867.08;0.23;188679.93;629.27;409.21;81.58;7.86
P2U-Bardon-LWS02;600;2022-05-02 14:50:01 UTC;170.50;6306.94;188517.98;0.25;189104.53;702.90;44.91;15.22;2.03
P2U-Bardon-LWS02;600;2022-05-02 15:00:02 UTC;974.09;6077.55;191499.20;72.59;197525.30;73.16;1513.91;394.89;24.88
P2U-Bardon-LWS02;599;2022-05-02 15:10:01 UTC;168.54;6393.02;186318.76;0.13;187163.91;0.00;178.18;28.48;15.98
P2U-Bardon-LWS02;600;2022-05-02 15:20:01 UTC;12.01;6206.10;188265.45;0.08;188581.84;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;601;2022-05-02 15:30:02 UTC;1227.05;6226.55;192501.52;0.14;191499.57;395.86;143.53;26.48;4.91
P2U-Bardon-LWS02;599;2022-05-02 15:40:01 UTC;1940.49;6488.03;185988.69;1.16;187102.99;1789.71;89.99;760.40;40.45
P2U-Bardon-LWS02;600;2022-05-02 15:50:01 UTC;25.93;5995.23;189348.45;1.01;189734.57;144.05;11.20;128.57;82.82
P2U-Bardon-LWS02;601;2022-05-02 16:00:01 UTC;4862.17;6223.35;188841.09;384.98;193931.37;458.55;1501.92;1113.83;56.81
P2U-Bardon-LWS02;599;2022-05-02 16:10:01 UTC;167.25;6625.62;186356.92;0.15;186100.27;116.04;49.35;17.63;10.66
P2U-Bardon-LWS02;600;2022-05-02 16:20:01 UTC;23.68;4577.02;185725.03;0.23;185203.62;134.34;34.10;21.93;13.02
P2U-Bardon-LWS02;601;2022-05-02 16:30:01 UTC;21.81;5871.67;185785.75;0.14;185962.05;251.81;59.99;75.22;24.12
P2U-Bardon-LWS02;600;2022-05-02 16:40:02 UTC;384.84;6647.70;188248.51;0.20;189491.96;741.63;591.10;370.74;27.82
P2U-Bardon-LWS02;599;2022-05-02 16:50:01 UTC;249.08;6156.38;186824.91;0.20;187281.74;232.50;52.93;152.12;53.29
P2U-Bardon-LWS02;600;2022-05-02 17:00:01 UTC;5318.64;5767.85;186626.72;346.89;192851.57;436.42;1813.14;1231.74;54.75
P2U-Bardon-LWS02;600;2022-05-02 17:10:01 UTC;192.80;6484.87;185418.94;0.43;185554.34;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 17:20:01 UTC;630.03;6750.40;186418.36;0.40;186899.33;523.20;10.45;123.92;23.22
P2U-Bardon-LWS02;600;2022-05-02 17:30:01 UTC;14.54;6163.62;187681.58;0.10;188086.45;154.68;23.57;56.10;31.47
P2U-Bardon-LWS02;600;2022-05-02 17:40:02 UTC;1685.69;5372.13;183187.03;2.08;187070.81;2183.28;155.84;463.80;19.83
P2U-Bardon-LWS02;599;2022-05-02 17:50:01 UTC;67.84;5390.61;180272.44;1.33;183087.49;44.51;17.93;61.27;98.12
P2U-Bardon-LWS02;601;2022-05-02 18:00:01 UTC;2153.32;5219.94;182258.07;255.30;190493.19;3.23;1978.80;537.41;27.11
P2U-Bardon-LWS02;600;2022-05-02 18:10:01 UTC;311.98;6316.22;188080.43;0.19;188568.29;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 18:20:02 UTC;17.57;5601.91;181469.75;0.22;182689.90;325.11;71.48;68.32;17.23
P2U-Bardon-LWS02;600;2022-05-02 18:30:01 UTC;19.27;6245.86;187189.42;0.28;187654.99;106.56;260.38;90.64;24.70
P2U-Bardon-LWS02;600;2022-05-02 18:40:01 UTC;553.26;7091.24;186637.18;0.91;188549.11;857.54;102.82;568.68;59.22
P2U-Bardon-LWS02;600;2022-05-02 18:50:01 UTC;46.06;7508.18;185686.60;1.29;187709.25;365.53;5.30;198.93;53.64
P2U-Bardon-LWS02;600;2022-05-02 19:00:02 UTC;4744.45;6420.48;182897.57;523.97;188978.14;290.20;1573.22;792.09;42.51
P2U-Bardon-LWS02;599;2022-05-02 19:10:01 UTC;180.80;5839.43;184415.68;0.27;185358.83;132.63;0.00;56.28;42.43
P2U-Bardon-LWS02;600;2022-05-02 19:20:01 UTC;349.92;6671.65;185057.50;0.19;185952.63;313.06;371.92;46.77;6.83
P2U-Bardon-LWS02;600;2022-05-02 19:30:01 UTC;15.47;6346.08;186849.72;0.16;186714.00;155.19;294.12;15.00;3.34
P2U-Bardon-LWS02;600;2022-05-02 19:40:01 UTC;490.59;6030.40;185223.58;0.33;186246.19;982.46;239.65;443.55;36.29
P2U-Bardon-LWS02;600;2022-05-02 19:50:01 UTC;353.50;7356.27;185868.94;0.43;187496.10;209.55;139.92;309.38;88.53
P2U-Bardon-LWS02;600;2022-05-02 20:00:01 UTC;6196.87;6078.94;184861.18;550.27;190207.67;490.45;1473.49;1083.91;55.19
P2U-Bardon-LWS02;600;2022-05-02 20:10:01 UTC;170.18;5941.72;184849.21;0.18;185338.10;151.49;156.92;59.12;19.17
P2U-Bardon-LWS02;600;2022-05-02 20:20:01 UTC;15.77;7054.41;185404.10;0.22;185752.73;198.33;51.70;90.66;36.26
P2U-Bardon-LWS02;600;2022-05-02 20:30:01 UTC;10.75;5977.94;187194.92;0.16;186826.23;171.11;56.50;80.39;35.32
P2U-Bardon-LWS02;600;2022-05-02 20:40:01 UTC;1183.76;5801.95;185638.31;1.12;186548.28;1623.40;656.20;526.13;23.08
